from,to,mode,base_time_sec,max_speed_kph,district,cost,co2_per_km
BB12,BB68,CAR,129,49,DSTRCT0,2.64,0.20
BA43,BA79,CAR,69,59,DSTRCT2,1.70,0.20
BA78,BB93,CAR,178,52,DSTRCT7,3.86,0.20
JC74,JD30,CAR,142,40,DSTRCT0,2.37,0.20
BB27,BA60,CAR,132,45,DSTRCT5,2.49,0.20
BB24,TC43,BUS,208,35,DSTRCT4,1.62,0.08
BA12,JD37,BUS,403,32,DSTRCT7,2.87,0.08
TC25,JC40,CAR,95,68,DSTRCT9,2.70,0.20
JC85,JC30,BUS,296,21,DSTRCT1,1.38,0.08
BB81,JD15,CAR,71,66,DSTRCT2,1.96,0.20
BA06,JD02,CAR,145,70,DSTRCT0,4.24,0.20
BA83,TC75,BUS,103,29,DSTRCT4,0.67,0.08
BB55,TC13,CAR,308,43,DSTRCT7,5.53,0.20
TC37,JD05,CAR,193,45,DSTRCT8,3.64,0.20
JD99,TC63,BUS,407,38,DSTRCT1,3.44,0.08
JC77,BA16,CAR,190,51,DSTRCT4,4.05,0.20
JC34,JC94,CAR,154,44,DSTRCT0,2.83,0.20
JD47,TC60,CAR,171,61,DSTRCT5,4.37,0.20
BB82,BB56,CAR,46,63,DSTRCT7,1.23,0.20
BA66,JC09,BUS,109,34,DSTRCT7,0.82,0.08
TC53,BB54,BUS,455,20,DSTRCT0,2.03,0.08
JD72,JC84,BUS,236,30,DSTRCT5,1.58,0.08
JD87,JD78,BUS,44,23,DSTRCT2,0.23,0.08
BA25,JC94,CAR,193,55,DSTRCT1,4.43,0.20
BB60,JC61,BUS,158,36,DSTRCT9,1.27,0.08
TC17,TC65,CAR,110,49,DSTRCT5,2.26,0.20
BA58,JC00,CAR,52,73,DSTRCT0,1.59,0.20
JD33,BA50,BUS,362,25,DSTRCT4,2.02,0.08
TC40,JC61,CAR,125,57,DSTRCT0,2.98,0.20
BA00,BA44,CAR,108,46,DSTRCT0,2.07,0.20
BB70,BA00,BUS,459,32,DSTRCT5,3.27,0.08
BB21,BA86,BUS,155,38,DSTRCT7,1.31,0.08
BA73,BA62,CAR,18,69,DSTRCT2,0.52,0.20
JD14,BA13,BUS,354,30,DSTRCT3,2.36,0.08
BA70,JD99,BUS,391,34,DSTRCT2,2.96,0.08
JD87,TC79,BUS,339,37,DSTRCT7,2.80,0.08
JC78,BA59,BUS,191,26,DSTRCT0,1.11,0.08
BA47,BB36,BUS,224,32,DSTRCT0,1.59,0.08
JC32,BA67,CAR,18,73,DSTRCT1,0.55,0.20
BA55,JD17,CAR,104,72,DSTRCT8,3.15,0.20
TC03,JD07,CAR,259,47,DSTRCT5,5.07,0.20
TC95,JC35,CAR,38,53,DSTRCT6,0.84,0.20
BA10,TC12,CAR,27,70,DSTRCT2,0.81,0.20
JC36,JD49,BUS,395,23,DSTRCT3,2.02,0.08
BB24,JD16,BUS,60,33,DSTRCT2,0.45,0.08
BA03,BB84,BUS,511,31,DSTRCT4,3.52,0.08
JD53,BA33,CAR,310,40,DSTRCT5,5.18,0.20
JC61,BB57,CAR,88,63,DSTRCT0,2.31,0.20
BB01,BB35,BUS,132,29,DSTRCT5,0.85,0.08
BA11,BA48,CAR,56,74,DSTRCT3,1.74,0.20
JD16,BA00,CAR,207,58,DSTRCT3,5.02,0.20
BA25,TC45,CAR,17,52,DSTRCT7,0.37,0.20
JD27,JC29,BUS,200,39,DSTRCT7,1.74,0.08
JC69,JC97,BUS,113,28,DSTRCT3,0.70,0.08
TC70,BB98,CAR,251,47,DSTRCT2,4.92,0.20
TC77,BA03,CAR,113,57,DSTRCT3,2.69,0.20
BA39,BB99,BUS,426,32,DSTRCT4,3.04,0.08
JD07,BA28,BUS,282,31,DSTRCT3,1.95,0.08
BB60,BA05,BUS,438,30,DSTRCT1,2.92,0.08
JC24,JD74,BUS,332,38,DSTRCT0,2.81,0.08
BB65,TC62,CAR,134,69,DSTRCT8,3.88,0.20
JC66,BA28,CAR,148,48,DSTRCT5,2.97,0.20
TC22,JD76,CAR,285,61,DSTRCT4,7.26,0.20
BB20,BB41,CAR,37,64,DSTRCT3,0.99,0.20
TC13,JD89,BUS,659,30,DSTRCT6,4.40,0.08
JC71,BB59,CAR,90,58,DSTRCT3,2.18,0.20
JD92,BA24,BUS,509,34,DSTRCT7,3.85,0.08
JD64,JC71,CAR,108,69,DSTRCT1,3.11,0.20
JC25,JD10,CAR,146,47,DSTRCT5,2.88,0.20
JD44,BA98,BUS,203,33,DSTRCT6,1.49,0.08
JD34,TC65,BUS,419,21,DSTRCT2,1.96,0.08
JC46,JC00,CAR,89,58,DSTRCT7,2.17,0.20
BA35,BA49,BUS,60,26,DSTRCT9,0.35,0.08
JD43,JC53,CAR,157,46,DSTRCT2,3.02,0.20
JC77,BA53,BUS,241,23,DSTRCT0,1.23,0.08
JC50,TC03,CAR,198,51,DSTRCT0,4.21,0.20
JC54,TC68,BUS,145,22,DSTRCT1,0.71,0.08
BA36,JD76,CAR,294,49,DSTRCT5,6.01,0.20
BA64,JC30,CAR,16,76,DSTRCT8,0.51,0.20
TC74,BA86,CAR,63,54,DSTRCT7,1.44,0.20
JC51,BB01,CAR,75,76,DSTRCT7,2.39,0.20
BA49,JC42,CAR,30,70,DSTRCT5,0.88,0.20
BA75,JC71,BUS,115,21,DSTRCT9,0.54,0.08
BA93,JD56,CAR,172,44,DSTRCT6,3.17,0.20
BB68,JC62,CAR,97,63,DSTRCT7,2.55,0.20
TC11,JD73,BUS,761,24,DSTRCT5,4.06,0.08
JD19,TC40,BUS,270,36,DSTRCT3,2.16,0.08
JD71,TC17,BUS,527,33,DSTRCT2,3.87,0.08
BA04,JC31,BUS,189,31,DSTRCT4,1.31,0.08
TC67,TC30,CAR,61,68,DSTRCT9,1.74,0.20
JD96,TC30,CAR,236,79,DSTRCT7,7.80,0.20
JD91,BB76,BUS,119,38,DSTRCT4,1.01,0.08
JD94,BA35,BUS,606,27,DSTRCT6,3.64,0.08
BA42,BA71,CAR,44,74,DSTRCT5,1.37,0.20
BA04,JD78,CAR,449,40,DSTRCT2,7.48,0.20
BB35,JC33,BUS,279,21,DSTRCT1,1.31,0.08
BA36,BB71,BUS,301,37,DSTRCT4,2.48,0.08
BB91,TC54,BUS,472,27,DSTRCT4,2.83,0.08
TC49,JC51,CAR,73,68,DSTRCT4,2.09,0.20
JC71,BA26,BUS,208,38,DSTRCT5,1.76,0.08
JD08,BA64,CAR,105,63,DSTRCT1,2.77,0.20
BA71,BB49,CAR,91,71,DSTRCT4,2.70,0.20
JC54,BB32,CAR,69,72,DSTRCT7,2.09,0.20
BA97,BB33,BUS,158,37,DSTRCT1,1.31,0.08
TC31,JD99,BUS,556,34,DSTRCT7,4.21,0.08
BA41,BA76,CAR,80,49,DSTRCT3,1.65,0.20
BB35,JC36,CAR,93,61,DSTRCT0,2.38,0.20
BB20,BB84,BUS,258,28,DSTRCT7,1.61,0.08
BA98,BB71,CAR,82,75,DSTRCT3,2.59,0.20
BA48,BA31,BUS,80,24,DSTRCT7,0.43,0.08
TC10,JC39,CAR,134,60,DSTRCT5,3.36,0.20
TC64,JC94,CAR,163,50,DSTRCT1,3.41,0.20
BB17,TC69,BUS,196,26,DSTRCT4,1.14,0.08
JC40,BA87,BUS,104,25,DSTRCT2,0.58,0.08
BA83,JC82,BUS,92,30,DSTRCT7,0.61,0.08
BA64,JC50,CAR,19,70,DSTRCT2,0.57,0.20
BB48,BB72,CAR,55,49,DSTRCT4,1.13,0.20
JC27,JD60,BUS,280,39,DSTRCT0,2.43,0.08
TC82,BA28,BUS,150,28,DSTRCT1,0.94,0.08
BA10,JC59,CAR,174,48,DSTRCT6,3.49,0.20
JD83,JC62,CAR,213,46,DSTRCT6,4.09,0.20
BA70,BA45,BUS,74,38,DSTRCT2,0.63,0.08
BB28,BB35,CAR,10,76,DSTRCT9,0.33,0.20
BA85,BB61,BUS,254,25,DSTRCT0,1.42,0.08
TC75,BA39,BUS,66,34,DSTRCT2,0.50,0.08
BB65,JC56,CAR,82,77,DSTRCT8,2.64,0.20
BB64,JC86,CAR,94,53,DSTRCT0,2.09,0.20
JC69,JD79,CAR,157,56,DSTRCT9,3.68,0.20
BB04,BB79,CAR,173,49,DSTRCT8,3.54,0.20
JC63,BB68,BUS,201,30,DSTRCT6,1.35,0.08
BB25,BA47,BUS,196,33,DSTRCT6,1.44,0.08
JD28,JC11,CAR,136,69,DSTRCT8,3.94,0.20
JD13,BB21,CAR,29,67,DSTRCT3,0.83,0.20
BA66,BB85,BUS,291,33,DSTRCT9,2.14,0.08
BA71,BB56,BUS,237,29,DSTRCT6,1.53,0.08
BB12,JD19,CAR,81,45,DSTRCT6,1.52,0.20
JC14,TC35,BUS,80,30,DSTRCT0,0.54,0.08
JD91,JC84,BUS,231,37,DSTRCT4,1.90,0.08
BA83,BA32,BUS,274,21,DSTRCT4,1.28,0.08
BA25,BB46,CAR,158,62,DSTRCT8,4.09,0.20
JC26,BB63,BUS,221,39,DSTRCT8,1.92,0.08
BB54,JD57,CAR,55,58,DSTRCT7,1.34,0.20
TC14,BB88,BUS,464,36,DSTRCT4,3.71,0.08
BA32,TC45,BUS,39,25,DSTRCT7,0.22,0.08
BA40,JC90,CAR,166,51,DSTRCT5,3.53,0.20
JC50,TC55,BUS,117,36,DSTRCT8,0.94,0.08
JC68,BB55,BUS,236,22,DSTRCT1,1.15,0.08
BB20,BB98,CAR,180,49,DSTRCT8,3.68,0.20
BA83,JD78,CAR,134,75,DSTRCT5,4.21,0.20
BA46,BA58,CAR,21,64,DSTRCT8,0.57,0.20
JD55,BA12,CAR,196,75,DSTRCT7,6.14,0.20
BA45,TC85,CAR,52,51,DSTRCT2,1.12,0.20
JD35,BB85,BUS,91,32,DSTRCT2,0.65,0.08
JD51,JD72,BUS,64,37,DSTRCT9,0.53,0.08
TC31,JD25,CAR,147,76,DSTRCT1,4.66,0.20
TC84,JD96,BUS,463,28,DSTRCT8,2.89,0.08
JC88,BB49,CAR,68,77,DSTRCT2,2.19,0.20
JC93,BB30,CAR,117,56,DSTRCT0,2.74,0.20
BA46,TC20,CAR,76,65,DSTRCT5,2.08,0.20
JC70,TC29,BUS,269,35,DSTRCT9,2.09,0.08
JD33,JC19,CAR,125,73,DSTRCT3,3.83,0.20
BA53,BA10,CAR,93,52,DSTRCT4,2.03,0.20
BB34,BA86,BUS,188,30,DSTRCT3,1.26,0.08
BB65,BA57,CAR,173,50,DSTRCT2,3.61,0.20
JC14,JC52,CAR,61,70,DSTRCT3,1.79,0.20
JD52,BA12,BUS,389,37,DSTRCT7,3.21,0.08
BA25,BA17,BUS,28,32,DSTRCT3,0.20,0.08
TC76,BB72,CAR,169,51,DSTRCT6,3.60,0.20
JC96,JC22,CAR,137,61,DSTRCT1,3.49,0.20
JD99,TC73,CAR,294,49,DSTRCT4,6.02,0.20
BA17,BA96,CAR,159,56,DSTRCT4,3.72,0.20
BA63,BB95,BUS,387,28,DSTRCT9,2.41,0.08
BB65,JD85,BUS,159,32,DSTRCT1,1.13,0.08
BB44,TC88,CAR,109,50,DSTRCT7,2.29,0.20
JC85,BA26,CAR,126,75,DSTRCT8,3.96,0.20
TC48,BA83,CAR,89,67,DSTRCT0,2.50,0.20
JD88,BA77,CAR,226,51,DSTRCT2,4.82,0.20
JC61,BB36,CAR,63,79,DSTRCT6,2.09,0.20
JC21,BA03,CAR,119,41,DSTRCT0,2.03,0.20
JC86,TC20,CAR,218,56,DSTRCT5,5.10,0.20
JC90,JD97,CAR,115,74,DSTRCT0,3.57,0.20
TC29,JC70,BUS,376,25,DSTRCT6,2.09,0.08
JD27,BA06,CAR,245,51,DSTRCT2,5.22,0.20
BB56,TC26,BUS,353,34,DSTRCT8,2.67,0.08
TC56,BB73,BUS,324,33,DSTRCT2,2.38,0.08
TC66,JC53,BUS,127,26,DSTRCT5,0.74,0.08
JD42,TC55,BUS,291,36,DSTRCT1,2.33,0.08
JD86,JC77,CAR,113,77,DSTRCT3,3.64,0.20
JD50,JD89,BUS,210,21,DSTRCT8,0.98,0.08
BB34,BA15,CAR,178,54,DSTRCT4,4.01,0.20
TC59,JC70,CAR,150,40,DSTRCT4,2.51,0.20
TC58,BB67,BUS,253,39,DSTRCT8,2.20,0.08
JC65,TC50,CAR,117,55,DSTRCT5,2.70,0.20
BA42,JC39,BUS,87,29,DSTRCT4,0.57,0.08
JC63,TC99,BUS,22,32,DSTRCT7,0.16,0.08
JD81,BA60,BUS,347,36,DSTRCT7,2.78,0.08
TC73,BB46,BUS,214,31,DSTRCT7,1.47,0.08
TC29,JC73,CAR,184,53,DSTRCT6,4.07,0.20
JD97,JC85,CAR,120,75,DSTRCT6,3.75,0.20
JC26,JD13,BUS,219,32,DSTRCT7,1.56,0.08
JD60,JD89,BUS,121,27,DSTRCT2,0.73,0.08
BA52,BB38,BUS,290,24,DSTRCT0,1.55,0.08
BB62,BB86,CAR,43,62,DSTRCT9,1.13,0.20
JC81,JC13,BUS,384,20,DSTRCT4,1.71,0.08
BA23,JD23,CAR,195,54,DSTRCT0,4.39,0.20
JC14,BA27,BUS,42,35,DSTRCT2,0.33,0.08
BB42,TC41,BUS,396,23,DSTRCT4,2.03,0.08
TC33,JC45,CAR,87,70,DSTRCT3,2.56,0.20
JC04,JD06,BUS,233,35,DSTRCT8,1.81,0.08
JD19,JC61,CAR,133,43,DSTRCT4,2.39,0.20
BA21,BA06,BUS,54,31,DSTRCT1,0.38,0.08
BB77,JC04,BUS,348,35,DSTRCT7,2.71,0.08
BB90,BB19,BUS,349,23,DSTRCT6,1.79,0.08
BA49,JD23,CAR,146,57,DSTRCT3,3.49,0.20
TC71,BB98,CAR,169,69,DSTRCT5,4.88,0.20
JC53,BA13,BUS,245,30,DSTRCT7,1.63,0.08
TC70,BA01,BUS,189,31,DSTRCT9,1.31,0.08
BB61,JD79,CAR,67,72,DSTRCT3,2.03,0.20
BA69,BB19,CAR,83,68,DSTRCT9,2.36,0.20
BA16,TC49,CAR,30,63,DSTRCT5,0.81,0.20
JD73,JD38,BUS,107,37,DSTRCT4,0.88,0.08
JC57,BA05,BUS,229,38,DSTRCT7,1.93,0.08
BB18,JC99,BUS,366,22,DSTRCT0,1.79,0.08
BB62,BA32,BUS,426,25,DSTRCT9,2.37,0.08
BB51,TC74,BUS,267,26,DSTRCT1,1.55,0.08
BA68,BB86,CAR,138,69,DSTRCT4,3.98,0.20
BB94,TC38,BUS,461,32,DSTRCT2,3.28,0.08
JC39,JC78,BUS,133,33,DSTRCT5,0.98,0.08
TC94,TC31,CAR,118,60,DSTRCT8,2.97,0.20
TC69,BA18,CAR,57,68,DSTRCT2,1.62,0.20
JD58,BA83,BUS,228,37,DSTRCT1,1.88,0.08
BA56,JC42,BUS,57,24,DSTRCT9,0.31,0.08
BA56,BB10,BUS,218,26,DSTRCT2,1.26,0.08
BA62,BA39,BUS,74,35,DSTRCT5,0.58,0.08
JD41,TC59,CAR,161,62,DSTRCT0,4.17,0.20
BB10,BB73,BUS,197,36,DSTRCT3,1.58,0.08
JD81,JD32,CAR,106,52,DSTRCT6,2.31,0.20
JD00,TC26,BUS,330,28,DSTRCT7,2.06,0.08
BB39,JD85,CAR,154,52,DSTRCT7,3.35,0.20
JC13,BB94,BUS,542,24,DSTRCT5,2.89,0.08
TC88,JD33,CAR,127,54,DSTRCT8,2.87,0.20
JC58,TC27,BUS,230,36,DSTRCT6,1.84,0.08
TC28,BA85,BUS,292,29,DSTRCT9,1.88,0.08
JC72,JD26,BUS,189,30,DSTRCT4,1.26,0.08
BA26,TC30,CAR,23,73,DSTRCT8,0.73,0.20
BB42,BB05,BUS,126,33,DSTRCT6,0.93,0.08
JC11,BA53,CAR,29,69,DSTRCT3,0.86,0.20
JD17,TC50,BUS,375,23,DSTRCT6,1.92,0.08
JD92,TC07,BUS,629,33,DSTRCT1,4.62,0.08
JC88,BA27,BUS,335,29,DSTRCT9,2.16,0.08
JD13,TC91,CAR,82,69,DSTRCT5,2.37,0.20
JD61,JC24,BUS,298,38,DSTRCT0,2.52,0.08
BB34,JD68,BUS,247,27,DSTRCT5,1.48,0.08
BB79,JD62,CAR,19,56,DSTRCT8,0.45,0.20
TC33,TC96,BUS,182,39,DSTRCT1,1.58,0.08
JD62,JC84,BUS,231,28,DSTRCT0,1.44,0.08
JC70,JC89,BUS,63,34,DSTRCT0,0.48,0.08
BB39,TC40,BUS,318,28,DSTRCT7,1.98,0.08
JC78,BA39,BUS,362,20,DSTRCT0,1.61,0.08
BA20,BB33,CAR,174,52,DSTRCT8,3.79,0.20
BA30,BA77,CAR,129,41,DSTRCT7,2.22,0.20
BB72,BB02,BUS,226,35,DSTRCT7,1.76,0.08
BB49,BB92,CAR,76,64,DSTRCT0,2.03,0.20
TC47,JD96,BUS,562,30,DSTRCT6,3.75,0.08
BB31,BB63,CAR,77,47,DSTRCT1,1.51,0.20
TC81,BA71,BUS,34,35,DSTRCT5,0.27,0.08
BB98,JC32,CAR,260,44,DSTRCT3,4.78,0.20
BA59,BB09,BUS,245,23,DSTRCT2,1.26,0.08
JD62,BA96,BUS,223,35,DSTRCT1,1.73,0.08
BB73,JD74,BUS,102,29,DSTRCT5,0.66,0.08
JD58,TC31,BUS,692,21,DSTRCT1,3.23,0.08
BA95,BA11,CAR,175,54,DSTRCT2,3.96,0.20
TC28,BB61,CAR,192,64,DSTRCT2,5.14,0.20
BB48,JC06,CAR,182,50,DSTRCT1,3.79,0.20
JD34,JD09,CAR,62,45,DSTRCT9,1.18,0.20
BB67,BA66,CAR,149,54,DSTRCT5,3.36,0.20
JD42,TC54,CAR,145,73,DSTRCT8,4.41,0.20
JD75,TC52,BUS,523,27,DSTRCT1,3.14,0.08
JD46,JD11,CAR,55,71,DSTRCT2,1.65,0.20
BA17,BB17,CAR,133,60,DSTRCT4,3.33,0.20
TC28,TC48,BUS,98,23,DSTRCT4,0.50,0.08
BA25,JC76,BUS,268,32,DSTRCT1,1.91,0.08
JD76,JD41,CAR,73,54,DSTRCT9,1.65,0.20
BA71,JC42,CAR,14,54,DSTRCT8,0.34,0.20
TC76,BB63,BUS,223,35,DSTRCT7,1.74,0.08
BB85,TC37,BUS,556,25,DSTRCT7,3.09,0.08
JC17,BA72,BUS,91,38,DSTRCT7,0.77,0.08
JC86,TC16,BUS,437,29,DSTRCT1,2.82,0.08
BB24,JC28,CAR,78,71,DSTRCT1,2.31,0.20
JD49,BA29,CAR,167,74,DSTRCT3,5.18,0.20
JD79,BB14,CAR,154,66,DSTRCT1,4.24,0.20
BB92,BB27,BUS,198,37,DSTRCT4,1.63,0.08
JC68,TC34,CAR,176,49,DSTRCT6,3.60,0.20
TC29,TC50,CAR,57,41,DSTRCT6,0.99,0.20
BB22,JC19,CAR,76,78,DSTRCT4,2.47,0.20
BA32,JD34,CAR,268,40,DSTRCT5,4.47,0.20
BB52,TC65,BUS,229,34,DSTRCT4,1.74,0.08
TC86,BB87,CAR,198,46,DSTRCT6,3.80,0.20
BA53,TC76,BUS,37,28,DSTRCT2,0.23,0.08
BA07,BB65,BUS,395,34,DSTRCT7,2.99,0.08
BB90,JD44,CAR,59,42,DSTRCT0,1.04,0.20
TC82,BB13,CAR,104,46,DSTRCT7,2.00,0.20
JC99,BB35,BUS,214,31,DSTRCT0,1.48,0.08
TC43,BB22,CAR,139,51,DSTRCT5,2.97,0.20
JD64,BA28,CAR,182,77,DSTRCT3,5.84,0.20
JC92,JC01,CAR,171,60,DSTRCT3,4.29,0.20
JC23,JD04,CAR,95,70,DSTRCT5,2.77,0.20
JD39,JD12,BUS,122,25,DSTRCT8,0.68,0.08
BB87,JD57,CAR,11,79,DSTRCT7,0.37,0.20
BA97,JC80,BUS,28,38,DSTRCT5,0.24,0.08
BA41,JD91,CAR,220,70,DSTRCT6,6.44,0.20
JC54,BB86,BUS,255,32,DSTRCT4,1.82,0.08
JD46,JD97,BUS,192,30,DSTRCT6,1.28,0.08
JC26,JD40,BUS,286,32,DSTRCT7,2.04,0.08
TC84,JC87,BUS,170,30,DSTRCT3,1.14,0.08
JD56,BB39,CAR,91,52,DSTRCT6,1.99,0.20
JC05,JD22,CAR,175,54,DSTRCT1,3.94,0.20
JC17,JC09,CAR,15,57,DSTRCT0,0.38,0.20
JD10,JD36,BUS,77,38,DSTRCT3,0.65,0.08
TC89,BB84,CAR,108,79,DSTRCT1,3.56,0.20
BA08,JD45,BUS,392,36,DSTRCT0,3.14,0.08
JC92,TC22,BUS,423,30,DSTRCT3,2.82,0.08
BB75,BB14,CAR,106,65,DSTRCT3,2.88,0.20
JD99,JC20,CAR,391,40,DSTRCT3,6.52,0.20
BA16,BA29,CAR,27,54,DSTRCT2,0.61,0.20
JD18,JC27,CAR,101,72,DSTRCT0,3.05,0.20
BB00,JD68,BUS,284,37,DSTRCT9,2.34,0.08
TC29,BA35,CAR,42,65,DSTRCT8,1.16,0.20
BB40,JC96,CAR,127,48,DSTRCT2,2.54,0.20
BA36,JD65,CAR,246,54,DSTRCT2,5.55,0.20
JC31,BA19,BUS,155,27,DSTRCT1,0.93,0.08
BA05,JD15,CAR,273,42,DSTRCT5,4.78,0.20
JC44,BB62,CAR,111,63,DSTRCT3,2.91,0.20
BB95,BB56,BUS,220,20,DSTRCT2,0.98,0.08
JC38,JD86,BUS,388,32,DSTRCT9,2.76,0.08
BA51,JC68,CAR,70,68,DSTRCT6,1.99,0.20
TC44,BB17,BUS,170,39,DSTRCT5,1.47,0.08
BB65,JC88,BUS,161,31,DSTRCT8,1.11,0.08
JD25,TC65,CAR,125,64,DSTRCT0,3.35,0.20
BA78,TC57,BUS,123,36,DSTRCT7,0.99,0.08
JC69,JC90,BUS,81,29,DSTRCT6,0.53,0.08
BA64,TC63,CAR,33,68,DSTRCT2,0.94,0.20
JD95,BB40,CAR,205,44,DSTRCT2,3.77,0.20
BA43,JD85,BUS,609,24,DSTRCT0,3.25,0.08
BA12,JC96,BUS,342,36,DSTRCT0,2.74,0.08
JD15,BB49,CAR,17,71,DSTRCT7,0.51,0.20
BB27,BB43,CAR,27,67,DSTRCT7,0.75,0.20
JC34,JD49,CAR,168,55,DSTRCT1,3.86,0.20
BB38,BB96,CAR,93,70,DSTRCT2,2.73,0.20
TC48,BB21,BUS,179,37,DSTRCT9,1.47,0.08
JD86,BB58,BUS,200,30,DSTRCT2,1.33,0.08
JD37,BB20,CAR,103,46,DSTRCT5,1.99,0.20
