id,lat,lon,type
JC66,3.1620,101.7093,JUNCTION
JC67,3.1622,101.7095,JUNCTION
JC68,3.1624,101.7097,JUNCTION
JC69,3.1626,101.7099,JUNCTION
JC70,3.1628,101.7101,JUNCTION
JC71,3.1630,101.7103,JUNCTION
JC72,3.1632,101.7105,JUNCTION
JC73,3.1634,101.7107,JUNCTION
JC74,3.1636,101.7109,JUNCTION
JC75,3.1638,101.7111,JUNCTION
JC76,3.1640,101.7113,JUNCTION
JC77,3.1642,101.7115,JUNCTION
JC78,3.1644,101.7117,JUNCTION
JC79,3.1646,101.7119,JUNCTION
JC80,3.1648,101.7121,JUNCTION
JC81,3.1650,101.7123,JUNCTION
JC82,3.1652,101.7125,JUNCTION
JC83,3.1654,101.7127,JUNCTION
JC84,3.1656,101.7129,JUNCTION
JC85,3.1658,101.7131,JUNCTION
JC86,3.1660,101.7133,JUNCTION
JC87,3.1662,101.7135,JUNCTION
JC88,3.1664,101.7137,JUNCTION
JC89,3.1666,101.7139,JUNCTION
JC90,3.1668,101.7141,JUNCTION
JC91,3.1670,101.7143,JUNCTION
JC92,3.1672,101.7145,JUNCTION
JC93,3.1674,101.7147,JUNCTION
JC94,3.1676,101.7149,JUNCTION
JC95,3.1678,101.7151,JUNCTION
JC96,3.1680,101.7153,JUNCTION
JC97,3.1682,101.7155,JUNCTION
JC98,3.1684,101.7157,JUNCTION
JC99,3.1686,101.7159,JUNCTION
JD00,3.1488,101.7161,JUNCTION
JD01,3.1490,101.7163,JUNCTION
JD02,3.1492,101.7165,JUNCTION
JD03,3.1494,101.7167,JUNCTION
JD04,3.1496,101.7169,JUNCTION
JD05,3.1498,101.7171,JUNCTION
JD06,3.1500,101.7173,JUNCTION
JD07,3.1502,101.7175,JUNCTION
JD08,3.1504,101.7177,JUNCTION
JD09,3.1506,101.7179,JUNCTION
JD10,3.1508,101.7181,JUNCTION
JD11,3.1510,101.7183,JUNCTION
JD12,3.1512,101.7185,JUNCTION
JD13,3.1514,101.7187,JUNCTION
JD14,3.1516,101.7189,JUNCTION
JD15,3.1518,101.7191,JUNCTION
JD16,3.1520,101.7193,JUNCTION
JD17,3.1522,101.7195,JUNCTION
JD18,3.1524,101.7197,JUNCTION
JD19,3.1526,101.7199,JUNCTION
JD20,3.1528,101.7201,JUNCTION
JD21,3.1530,101.7203,JUNCTION
JD22,3.1532,101.7205,JUNCTION
JD23,3.1534,101.7207,JUNCTION
JD24,3.1536,101.7209,JUNCTION
JD25,3.1538,101.7211,JUNCTION
JD26,3.1540,101.7213,JUNCTION
JD27,3.1542,101.7215,JUNCTION
JD28,3.1544,101.7217,JUNCTION
JD29,3.1546,101.7219,JUNCTION
JD30,3.1548,101.7221,JUNCTION
JD31,3.1550,101.7223,JUNCTION
JD32,3.1552,101.7225,JUNCTION
JD33,3.1554,101.7227,JUNCTION
JD34,3.1556,101.7229,JUNCTION
JD35,3.1558,101.7231,JUNCTION
JD36,3.1560,101.7233,JUNCTION
JD37,3.1562,101.7235,JUNCTION
JD38,3.1564,101.7237,JUNCTION
JD39,3.1566,101.7239,JUNCTION
JD40,3.1568,101.7241,JUNCTION
JD41,3.1570,101.7243,JUNCTION
JD42,3.1572,101.7245,JUNCTION
JD43,3.1574,101.7247,JUNCTION
JD44,3.1576,101.7249,JUNCTION
JD45,3.1578,101.7251,JUNCTION
JD46,3.1580,101.7253,JUNCTION
JD47,3.1582,101.7255,JUNCTION
JD48,3.1584,101.7257,JUNCTION
JD49,3.1586,101.7259,JUNCTION
JD50,3.1588,101.7261,JUNCTION
JD51,3.1590,101.7263,JUNCTION
JD52,3.1592,101.7265,JUNCTION
JD53,3.1594,101.7267,JUNCTION
JD54,3.1596,101.7269,JUNCTION
JD55,3.1598,101.7271,JUNCTION
JD56,3.1600,101.7273,JUNCTION
JD57,3.1602,101.7275,JUNCTION
JD58,3.1604,101.7277,JUNCTION
JD59,3.1606,101.7279,JUNCTION
JD60,3.1608,101.7281,JUNCTION
JD61,3.1610,101.7283,JUNCTION
JD62,3.1612,101.7285,JUNCTION
JD63,3.1614,101.7287,JUNCTION
JD64,3.1616,101.7289,JUNCTION
JD65,3.1618,101.7291,JUNCTION
JD66,3.1620,101.7293,JUNCTION
JD67,3.1622,101.7295,JUNCTION
JD68,3.1624,101.7297,JUNCTION
JD69,3.1626,101.7299,JUNCTION
JD70,3.1628,101.7301,JUNCTION
JD71,3.1630,101.7303,JUNCTION
JD72,3.1632,101.7305,JUNCTION
JD73,3.1634,101.7307,JUNCTION
JD74,3.1636,101.7309,JUNCTION
JD75,3.1638,101.7311,JUNCTION
JD76,3.1640,101.7313,JUNCTION
JD77,3.1642,101.7315,JUNCTION
JD78,3.1644,101.7317,JUNCTION
JD79,3.1646,101.7319,JUNCTION
JD80,3.1648,101.7321,JUNCTION
JD81,3.1650,101.7323,JUNCTION
JD82,3.1652,101.7325,JUNCTION
JD83,3.1654,101.7327,JUNCTION
JD84,3.1656,101.7329,JUNCTION
JD85,3.1658,101.7331,JUNCTION
JD86,3.1660,101.7333,JUNCTION
JD87,3.1662,101.7335,JUNCTION
JD88,3.1664,101.7337,JUNCTION
JD89,3.1666,101.7339,JUNCTION
JD90,3.1668,101.7341,JUNCTION
JD91,3.1670,101.7343,JUNCTION
JD92,3.1672,101.7345,JUNCTION
JD93,3.1674,101.7347,JUNCTION
JD94,3.1676,101.7349,JUNCTION
JD95,3.1678,101.7351,JUNCTION
JD96,3.1680,101.7353,JUNCTION
JD97,3.1682,101.7355,JUNCTION
JD98,3.1684,101.7357,JUNCTION
JD99,3.1686,101.7359,JUNCTION
BA00,3.1450,101.6900,BUS_STOP
BA01,3.1452,101.6902,BUS_STOP
BA02,3.1454,101.6904,BUS_STOP
BA03,3.1456,101.6906,BUS_STOP
BA04,3.1458,101.6908,BUS_STOP
BA05,3.1460,101.6910,BUS_STOP
BA06,3.1462,101.6912,BUS_STOP
BA07,3.1464,101.6914,BUS_STOP
BA08,3.1466,101.6916,BUS_STOP
BA09,3.1468,101.6918,BUS_STOP
BA10,3.1470,101.6920,BUS_STOP
BA11,3.1472,101.6922,BUS_STOP
BA12,3.1474,101.6924,BUS_STOP
BA13,3.1476,101.6926,BUS_STOP
BA14,3.1478,101.6928,BUS_STOP
BA15,3.1480,101.6930,BUS_STOP
BA16,3.1482,101.6932,BUS_STOP
BA17,3.1484,101.6934,BUS_STOP
BA18,3.1486,101.6936,BUS_STOP
BA19,3.1488,101.6938,BUS_STOP
BA20,3.1490,101.6940,BUS_STOP
BA21,3.1492,101.6942,BUS_STOP
BA22,3.1494,101.6944,BUS_STOP
BA23,3.1496,101.6946,BUS_STOP
BA24,3.1498,101.6948,BUS_STOP
BA25,3.1500,101.6950,BUS_STOP
BA26,3.1502,101.6952,BUS_STOP
BA27,3.1504,101.6954,BUS_STOP
BA28,3.1506,101.6956,BUS_STOP
BA29,3.1508,101.6958,BUS_STOP
BA30,3.1510,101.6960,BUS_STOP
BA31,3.1512,101.6962,BUS_STOP
BA32,3.1514,101.6964,BUS_STOP
BA33,3.1516,101.6966,BUS_STOP
BA34,3.1518,101.6968,BUS_STOP
BA35,3.1520,101.6970,BUS_STOP
BA36,3.1522,101.6972,BUS_STOP
BA37,3.1524,101.6974,BUS_STOP
BA38,3.1526,101.6976,BUS_STOP
BA39,3.1528,101.6978,BUS_STOP
BA40,3.1530,101.6980,BUS_STOP
BA41,3.1532,101.6982,BUS_STOP
BA42,3.1534,101.6984,BUS_STOP
BA43,3.1536,101.6986,BUS_STOP
BA44,3.1538,101.6988,BUS_STOP
BA45,3.1540,101.6990,BUS_STOP
BA46,3.1542,101.6992,BUS_STOP
BA47,3.1544,101.6994,BUS_STOP
BA48,3.1546,101.6996,BUS_STOP
BA49,3.1548,101.6998,BUS_STOP
BA50,3.1550,101.7000,BUS_STOP
BA51,3.1552,101.7002,BUS_STOP
BA52,3.1554,101.7004,BUS_STOP
BA53,3.1556,101.7006,BUS_STOP
BA54,3.1558,101.7008,BUS_STOP
BA55,3.1560,101.7010,BUS_STOP
BA56,3.1562,101.7012,BUS_STOP
BA57,3.1564,101.7014,BUS_STOP
BA58,3.1566,101.7016,BUS_STOP
BA59,3.1568,101.7018,BUS_STOP
BA60,3.1570,101.7020,BUS_STOP
BA61,3.1572,101.7022,BUS_STOP
BA62,3.1574,101.7024,BUS_STOP
BA63,3.1576,101.7026,BUS_STOP
BA64,3.1578,101.7028,BUS_STOP
BA65,3.1580,101.7030,BUS_STOP
BA66,3.1582,101.7032,BUS_STOP
BA67,3.1584,101.7034,BUS_STOP
BA68,3.1586,101.7036,BUS_STOP
BA69,3.1588,101.7038,BUS_STOP
BA70,3.1590,101.7040,BUS_STOP
BA71,3.1592,101.7042,BUS_STOP
BA72,3.1594,101.7044,BUS_STOP
BA73,3.1596,101.7046,BUS_STOP
BA74,3.1598,101.7048,BUS_STOP
BA75,3.1600,101.7050,BUS_STOP
BA76,3.1602,101.7052,BUS_STOP
BA77,3.1604,101.7054,BUS_STOP
BA78,3.1606,101.7056,BUS_STOP
BA79,3.1608,101.7058,BUS_STOP
BA80,3.1610,101.7060,BUS_STOP
BA81,3.1612,101.7062,BUS_STOP
BA82,3.1614,101.7064,BUS_STOP
BA83,3.1616,101.7066,BUS_STOP
BA84,3.1618,101.7068,BUS_STOP
BA85,3.1620,101.7070,BUS_STOP
BA86,3.1622,101.7072,BUS_STOP
BA87,3.1624,101.7074,BUS_STOP
BA88,3.1626,101.7076,BUS_STOP
BA89,3.1628,101.7078,BUS_STOP
BA90,3.1630,101.7080,BUS_STOP
BA91,3.1632,101.7082,BUS_STOP
BA92,3.1634,101.7084,BUS_STOP
BA93,3.1636,101.7086,BUS_STOP
BA94,3.1638,101.7088,BUS_STOP
BA95,3.1640,101.7090,BUS_STOP
BA96,3.1642,101.7092,BUS_STOP
BA97,3.1644,101.7094,BUS_STOP
BA98,3.1646,101.7096,BUS_STOP
BA99,3.1648,101.7098,BUS_STOP
BB00,3.1450,101.7100,BUS_STOP
BB01,3.1452,101.7102,BUS_STOP
BB02,3.1454,101.7104,BUS_STOP
BB03,3.1456,101.7106,BUS_STOP
BB04,3.1458,101.7108,BUS_STOP
BB05,3.1460,101.7110,BUS_STOP
BB06,3.1462,101.7112,BUS_STOP
BB07,3.1464,101.7114,BUS_STOP
BB08,3.1466,101.7116,BUS_STOP
BB09,3.1468,101.7118,BUS_STOP
BB10,3.1470,101.7120,BUS_STOP
BB11,3.1472,101.7122,BUS_STOP
BB12,3.1474,101.7124,BUS_STOP
BB13,3.1476,101.7126,BUS_STOP
BB14,3.1478,101.7128,BUS_STOP
BB15,3.1480,101.7130,BUS_STOP
BB16,3.1482,101.7132,BUS_STOP
BB17,3.1484,101.7134,BUS_STOP
BB18,3.1486,101.7136,BUS_STOP
BB19,3.1488,101.7138,BUS_STOP
BB20,3.1490,101.7140,BUS_STOP
BB21,3.1492,101.7142,BUS_STOP
BB22,3.1494,101.7144,BUS_STOP
BB23,3.1496,101.7146,BUS_STOP
BB24,3.1498,101.7148,BUS_STOP
BB25,3.1500,101.7150,BUS_STOP
BB26,3.1502,101.7152,BUS_STOP
BB27,3.1504,101.7154,BUS_STOP
BB28,3.1506,101.7156,BUS_STOP
BB29,3.1508,101.7158,BUS_STOP
BB30,3.1510,101.7160,BUS_STOP
BB31,3.1512,101.7162,BUS_STOP
BB32,3.1514,101.7164,BUS_STOP
BB33,3.1516,101.7166,BUS_STOP
BB34,3.1518,101.7168,BUS_STOP
BB35,3.1520,101.7170,BUS_STOP
BB36,3.1522,101.7172,BUS_STOP
BB37,3.1524,101.7174,BUS_STOP
BB38,3.1526,101.7176,BUS_STOP
BB39,3.1528,101.7178,BUS_STOP
BB40,3.1530,101.7180,BUS_STOP
BB41,3.1532,101.7182,BUS_STOP
BB42,3.1534,101.7184,BUS_STOP
BB43,3.1536,101.7186,BUS_STOP
BB44,3.1538,101.7188,BUS_STOP
BB45,3.1540,101.7190,BUS_STOP
BB46,3.1542,101.7192,BUS_STOP
BB47,3.1544,101.7194,BUS_STOP
BB48,3.1546,101.7196,BUS_STOP
BB49,3.1548,101.7198,BUS_STOP
BB50,3.1550,101.7200,BUS_STOP
BB51,3.1552,101.7202,BUS_STOP
BB52,3.1554,101.7204,BUS_STOP
BB53,3.1556,101.7206,BUS_STOP
BB54,3.1558,101.7208,BUS_STOP
BB55,3.1560,101.7210,BUS_STOP
BB56,3.1562,101.7212,BUS_STOP
BB57,3.1564,101.7214,BUS_STOP
BB58,3.1566,101.7216,BUS_STOP
BB59,3.1568,101.7218,BUS_STOP
BB60,3.1570,101.7220,BUS_STOP
BB61,3.1572,101.7222,BUS_STOP
BB62,3.1574,101.7224,BUS_STOP
BB63,3.1576,101.7226,BUS_STOP
BB64,3.1578,101.7228,BUS_STOP
BB65,3.1580,101.7230,BUS_STOP
BB66,3.1582,101.7232,BUS_STOP
BB67,3.1584,101.7234,BUS_STOP
BB68,3.1586,101.7236,BUS_STOP
BB69,3.1588,101.7238,BUS_STOP
BB70,3.1590,101.7240,BUS_STOP
BB71,3.1592,101.7242,BUS_STOP
BB72,3.1594,101.7244,BUS_STOP
BB73,3.1596,101.7246,BUS_STOP
BB74,3.1598,101.7248,BUS_STOP
BB75,3.1600,101.7250,BUS_STOP
BB76,3.1602,101.7252,BUS_STOP
BB77,3.1604,101.7254,BUS_STOP
BB78,3.1606,101.7256,BUS_STOP
BB79,3.1608,101.7258,BUS_STOP
BB80,3.1610,101.7260,BUS_STOP
BB81,3.1612,101.7262,BUS_STOP
BB82,3.1614,101.7264,BUS_STOP
BB83,3.1616,101.7266,BUS_STOP
BB84,3.1618,101.7268,BUS_STOP
BB85,3.1620,101.7270,BUS_STOP
BB86,3.1622,101.7272,BUS_STOP
BB87,3.1624,101.7274,BUS_STOP
BB88,3.1626,101.7276,BUS_STOP
BB89,3.1628,101.7278,BUS_STOP
BB90,3.1630,101.7280,BUS_STOP
BB91,3.1632,101.7282,BUS_STOP
BB92,3.1634,101.7284,BUS_STOP
BB93,3.1636,101.7286,BUS_STOP
BB94,3.1638,101.7288,BUS_STOP
BB95,3.1640,101.7290,BUS_STOP
BB96,3.1642,101.7292,BUS_STOP
BB97,3.1644,101.7294,BUS_STOP
BB98,3.1646,101.7296,BUS_STOP
BB99,3.1648,101.7298,BUS_STOP
TC00,3.1400,101.6880,TRAIN_STATION
TC01,3.1402,101.6882,TRAIN_STATION
TC02,3.1404,101.6884,TRAIN_STATION
TC03,3.1406,101.6886,TRAIN_STATION
TC04,3.1408,101.6888,TRAIN_STATION
TC05,3.1410,101.6890,TRAIN_STATION
TC06,3.1412,101.6892,TRAIN_STATION
TC07,3.1414,101.6894,TRAIN_STATION
TC08,3.1416,101.6896,TRAIN_STATION
TC09,3.1418,101.6898,TRAIN_STATION
TC10,3.1420,101.6900,TRAIN_STATION
TC11,3.1422,101.6902,TRAIN_STATION
TC12,3.1424,101.6904,TRAIN_STATION
TC13,3.1426,101.6906,TRAIN_STATION
TC14,3.1428,101.6908,TRAIN_STATION
TC15,3.1430,101.6910,TRAIN_STATION
TC16,3.1432,101.6912,TRAIN_STATION
TC17,3.1434,101.6914,TRAIN_STATION
TC18,3.1436,101.6916,TRAIN_STATION
TC19,3.1438,101.6918,TRAIN_STATION
TC20,3.1440,101.6920,TRAIN_STATION
TC21,3.1442,101.6922,TRAIN_STATION
TC22,3.1444,101.6924,TRAIN_STATION
TC23,3.1446,101.6926,TRAIN_STATION
TC24,3.1448,101.6928,TRAIN_STATION
TC25,3.1450,101.6930,TRAIN_STATION
TC26,3.1452,101.6932,TRAIN_STATION
TC27,3.1454,101.6934,TRAIN_STATION
TC28,3.1456,101.6936,TRAIN_STATION
TC29,3.1458,101.6938,TRAIN_STATION
TC30,3.1460,101.6940,TRAIN_STATION
TC31,3.1462,101.6942,TRAIN_STATION
TC32,3.1464,101.6944,TRAIN_STATION
TC33,3.1466,101.6946,TRAIN_STATION
TC34,3.1468,101.6948,TRAIN_STATION
TC35,3.1470,101.6950,TRAIN_STATION
TC36,3.1472,101.6952,TRAIN_STATION
TC37,3.1474,101.6954,TRAIN_STATION
TC38,3.1476,101.6956,TRAIN_STATION
TC39,3.1478,101.6958,TRAIN_STATION
TC40,3.1480,101.6960,TRAIN_STATION
TC41,3.1482,101.6962,TRAIN_STATION
TC42,3.1484,101.6964,TRAIN_STATION
TC43,3.1486,101.6966,TRAIN_STATION
TC44,3.1488,101.6968,TRAIN_STATION
TC45,3.1490,101.6970,TRAIN_STATION
TC46,3.1492,101.6972,TRAIN_STATION
TC47,3.1494,101.6974,TRAIN_STATION
TC48,3.1496,101.6976,TRAIN_STATION
TC49,3.1498,101.6978,TRAIN_STATION
TC50,3.1500,101.6980,TRAIN_STATION
TC51,3.1502,101.6982,TRAIN_STATION
TC52,3.1504,101.6984,TRAIN_STATION
TC53,3.1506,101.6986,TRAIN_STATION
TC54,3.1508,101.6988,TRAIN_STATION
TC55,3.1510,101.6990,TRAIN_STATION
TC56,3.1512,101.6992,TRAIN_STATION
TC57,3.1514,101.6994,TRAIN_STATION
TC58,3.1516,101.6996,TRAIN_STATION
TC59,3.1518,101.6998,TRAIN_STATION
TC60,3.1520,101.7000,TRAIN_STATION
TC61,3.1522,101.7002,TRAIN_STATION
TC62,3.1524,101.7004,TRAIN_STATION
TC63,3.1526,101.7006,TRAIN_STATION
TC64,3.1528,101.7008,TRAIN_STATION
TC65,3.1530,101.7010,TRAIN_STATION
TC66,3.1532,101.7012,TRAIN_STATION
TC67,3.1534,101.7014,TRAIN_STATION
TC68,3.1536,101.7016,TRAIN_STATION
TC69,3.1538,101.7018,TRAIN_STATION
TC70,3.1540,101.7020,TRAIN_STATION
TC71,3.1542,101.7022,TRAIN_STATION
TC72,3.1544,101.7024,TRAIN_STATION
TC73,3.1546,101.7026,TRAIN_STATION
TC74,3.1548,101.7028,TRAIN_STATION
TC75,3.1550,101.7030,TRAIN_STATION
TC76,3.1552,101.7032,TRAIN_STATION
TC77,3.1554,101.7034,TRAIN_STATION
TC78,3.1556,101.7036,TRAIN_STATION
TC79,3.1558,101.7038,TRAIN_STATION
TC80,3.1560,101.7040,TRAIN_STATION
TC81,3.1562,101.7042,TRAIN_STATION
TC82,3.1564,101.7044,TRAIN_STATION
TC83,3.1566,101.7046,TRAIN_STATION
TC84,3.1568,101.7048,TRAIN_STATION
TC85,3.1570,101.7050,TRAIN_STATION
TC86,3.1572,101.7052,TRAIN_STATION
TC87,3.1574,101.7054,TRAIN_STATION
TC88,3.1576,101.7056,TRAIN_STATION
TC89,3.1578,101.7058,TRAIN_STATION
TC90,3.1580,101.7060,TRAIN_STATION
TC91,3.1582,101.7062,TRAIN_STATION
TC92,3.1584,101.7064,TRAIN_STATION
TC93,3.1586,101.7066,TRAIN_STATION
TC94,3.1588,101.7068,TRAIN_STATION
TC95,3.1590,101.7070,TRAIN_STATION
TC96,3.1592,101.7072,TRAIN_STATION
TC97,3.1594,101.7074,TRAIN_STATION
TC98,3.1596,101.7076,TRAIN_STATION
TC99,3.1598,101.7078,TRAIN_STATION
